# Symposium old -> new paragraph map. Applies identically to original-en and modern-en.
# Coordinates: chapter number (1-based) . paragraph index (0-based), matching reader chapterNumber/paragraphIndex.
# Old = served baseline at main 38a97c6315fdad4fe01fe326c203f870e22e615b (original-en sha256 e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en sha256 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# No paragraph is merged, split or deleted, so offset_shift_* is 0 on every row (the columns keep the format read by prepare-structural-migration.py).
# Text is carried byte for byte (old hash == new hash) except modern-en 3.3, 3.7, 3.8 (C-06), marked text_changed=modern-en:
#   for those three, use mapping/changed-paragraph-ops.json (UTF-16 char and word opcodes) to project offsets.
# op: keep = same coordinate; renumber = same chapter, new index (+9 in chapter 1); move = new chapter (7.69-7.114 -> 8.0-8.45; 8.0 -> 8.46).
# New coordinates 1.0-1.8 have no old coordinate: they are the restored passages listed in inserted-paragraphs.tsv.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
1	31	1	40	renumber	0	0	none	f8cf08cda86087c7812a537880032cd83d2cb496b7000c40befe52152dffdb66	f8cf08cda86087c7812a537880032cd83d2cb496b7000c40befe52152dffdb66	4d55147aa53986d3571e71708bb507aefc5aec0ef9e737b7522f0cb53f12f6d1	4d55147aa53986d3571e71708bb507aefc5aec0ef9e737b7522f0cb53f12f6d1
1	32	1	41	renumber	0	0	none	a2caaf8ec85292a2f182482d9c13dd9b1e58762e4820049f0d941a82270932ef	a2caaf8ec85292a2f182482d9c13dd9b1e58762e4820049f0d941a82270932ef	51985dffb80fa32139dcad5a36b12bbab0ff3a22f002536abf651d81e1af3311	51985dffb80fa32139dcad5a36b12bbab0ff3a22f002536abf651d81e1af3311
1	33	1	42	renumber	0	0	none	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d	b2007aefaffd90a689a4167809652010faff1a93e43fddb02b4ab5fb354d212d
1	34	1	43	renumber	0	0	none	4876b22310cf7c09ee3e974fabf09665ba1efaa93551b8d9040f0e51e6c142c1	4876b22310cf7c09ee3e974fabf09665ba1efaa93551b8d9040f0e51e6c142c1	abdd7f023e4a6671a469f3c5ec4039ad8268f7305fcad0e564cc9623b780cddb	abdd7f023e4a6671a469f3c5ec4039ad8268f7305fcad0e564cc9623b780cddb
1	35	1	44	renumber	0	0	none	9d16b9b2c2bad041c16e5cffd1a5dd026730ecb61897b2c3ab6b1a3b09717792	9d16b9b2c2bad041c16e5cffd1a5dd026730ecb61897b2c3ab6b1a3b09717792	6f7f51bcc670b13a9409792cf552ac7addfba0ef71311113ebd0c2e08370e171	6f7f51bcc670b13a9409792cf552ac7addfba0ef71311113ebd0c2e08370e171
1	36	1	45	renumber	0	0	none	83d63f523043386ea031be5782efeaf1ae83049ddb869d312278c4acbda0da07	83d63f523043386ea031be5782efeaf1ae83049ddb869d312278c4acbda0da07	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e	2c24762efc674dd1344b6957bc1f71974f3c2cbac227fc1b69c11aba14a1090e
1	37	1	46	renumber	0	0	none	a72c53f9c8159fff5572feb6a2b49afa69ae6635b8d3eff9e423d452d01ac102	a72c53f9c8159fff5572feb6a2b49afa69ae6635b8d3eff9e423d452d01ac102	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214	c1c0f7d07ff491854ebc71eba3c676d77c513f7b33cdb46494e20eac44233214
1	38	1	47	renumber	0	0	none	fd2c80175f1a192d4c267163a6f44eae0c0add9d1e1b2606563b5146b981bde6	fd2c80175f1a192d4c267163a6f44eae0c0add9d1e1b2606563b5146b981bde6	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026	2d5c5a0942701db606485915d20b53e91786b20caa2de982e5052fe4e71f8026
1	39	1	48	renumber	0	0	none	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee	7d7ceb1092cf3e356dedbe7b86b6f88b45f3c3b0a4795b84e02f7ddb90698aee
2	0	2	0	keep	0	0	none	ed889591b2d0b2ee632dc8eae15caaa8b1adc4b965e0649bf9643e0373721b40	ed889591b2d0b2ee632dc8eae15caaa8b1adc4b965e0649bf9643e0373721b40	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349	0c2873a1b0e7ae7add2fd5832811625fe81e4a857ee57dc9ef197a79c6943349
2	1	2	1	keep	0	0	none	ea28457c6fedb0c676f18cb2b7dc92e1c043518800f617f70f44f6a733b59278	ea28457c6fedb0c676f18cb2b7dc92e1c043518800f617f70f44f6a733b59278	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074	f44a3e77b1f4de26a7ef37bc53bfc2fa4634e4737564ecffaba0063fec10b074
2	2	2	2	keep	0	0	none	d2b5e08929323fbadaf06f16dcafe640769ee8328ebd82cd670d49992dd85a97	d2b5e08929323fbadaf06f16dcafe640769ee8328ebd82cd670d49992dd85a97	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621	690b431455c646328572c3ed704eaefc1c656cc65b39ba5540ca05a3542f6621
2	3	2	3	keep	0	0	none	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db	5aa574c6a7b9713b95f583c390fa03c7fbceda101af37cc89ea68cd6c642c0db
2	4	2	4	keep	0	0	none	84d8aafbbcc21929ce7cb0ef1fab0373d76324aeb152b9392080f4a8db562781	84d8aafbbcc21929ce7cb0ef1fab0373d76324aeb152b9392080f4a8db562781	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139	d6a0cbd7c0b9f17995ceb4b5153b965dd356a6b8df2705d0204a6afd7dcbe139
2	5	2	5	keep	0	0	none	18637aff838369fadc07d3e534f0bf7f029249ff98358e81a18fb3218936cbf4	18637aff838369fadc07d3e534f0bf7f029249ff98358e81a18fb3218936cbf4	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028	f8da6b01b1676e387979ab281eacf65ef2ada0cdf9b0e87fc808d9a8b539d028
2	6	2	6	keep	0	0	none	49cef870e4fa42ee9067cefd14eb8767d2a9b590aba4ca044e224834732933f0	49cef870e4fa42ee9067cefd14eb8767d2a9b590aba4ca044e224834732933f0	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1	ae71506467eb3c5eec0237f6f41aa36b93862fdbf6c80c3709c46e8fee0c51f1
