# Symposium live -> final paragraph map (composed: completeness repair + accessibility pass). Coordinates chapter.index (index 0-based).
# Old = live main 693121e30cde6aeabc2b0682f61b51aa8683735d (original-en e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# New = original-en 3521a12d5d5acd6d4ac83f53747192c5ae592f7bf5e965c9c9bff881965495a6 (completeness candidate; unchanged by the accessibility pass) and modern-en a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d (accessibility candidate).
# Column names and op values follow books/wip/symposium-completeness-repair/mapping/paragraph-map.tsv (read by prepare-structural-migration.py). offset_shift_* is 0 everywhere; text changes are given as opcodes in changed-paragraph-ops-live-to-final.json.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed_original_en	text_changed_modern_en	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
7	48	7	48	keep	0	0	none	accessibility	f6c1c561b2c29005a1b558b130a8b8b85bad431bf9a1e96f1396804fc70ac45b	f6c1c561b2c29005a1b558b130a8b8b85bad431bf9a1e96f1396804fc70ac45b	64b63f0ff808108b58ba4c976d321d5f19f30831e0766473a486e3ad91d28fb5	6521b686ea52a4c32d17304dcf094a336ed52332da4fdd61d1a224945221fc64
7	49	7	49	keep	0	0	none	accessibility	a76957d2de174ed3437f0e4c4bf22759aa836cc27dc03db4601778e7f334e493	a76957d2de174ed3437f0e4c4bf22759aa836cc27dc03db4601778e7f334e493	9939e54866cef757157404c4cee11db8ccd91a6c610a98b804186d64a0e05232	3f62b3b94f9cc0a3112b5dfd7d9434e13366d0da529169d2518a8bece56676fc
7	50	7	50	keep	0	0	none	accessibility	57a596df3dcacf8ade6bdc3bb5d1a77aff8b9e19a35e9d185720b862fc37cdae	57a596df3dcacf8ade6bdc3bb5d1a77aff8b9e19a35e9d185720b862fc37cdae	9bcee48e4fabb1f6a4abd60e920a2ab76de08a8431c7e8f2da09e18e4f1d0a4f	5569d6fcd127e772078e934a9f7f1e24c7a1d4d136cb3f52580969b240d1e55a
7	51	7	51	keep	0	0	none	accessibility	0fa15cac4b15a3be9137bc17fb490ca36e7b09be56874680c93070a76df1559d	0fa15cac4b15a3be9137bc17fb490ca36e7b09be56874680c93070a76df1559d	381f3aaf1997d964d4084fb063adc5912286c7d5548a61c8a16d1a49c17d31e6	1ca34d594d64aedc3abc64e41b78754705e4f9a14f2cda79d6e3d115a3ace90f
7	52	7	52	keep	0	0	none	accessibility	44ff51caaa05f75213714ec579709032050280d2279f5f2e1b94c0cf51010a90	44ff51caaa05f75213714ec579709032050280d2279f5f2e1b94c0cf51010a90	589553d99bcdaa799eaf4ac3a9a4ea498ba7e4bee4693d55a44bd0982434fec3	e46d2c790376b998143b25c86c0beec8aa6afa4702149ba04843a4e8d08d7e1b
7	53	7	53	keep	0	0	none	accessibility	7f5ab522d2cd46dc75a6d549b120d6cbc52558c0c6e7846b5d518af5fb21062d	7f5ab522d2cd46dc75a6d549b120d6cbc52558c0c6e7846b5d518af5fb21062d	7ed88953e87917a4f3cd0b17214f923579052a2379c602ea9d42b75c85438ed9	2fcaef4068e179078ae5ef3d520ffd45113f51527f44c3b1c24f17515dbba125
7	54	7	54	keep	0	0	none	accessibility	3309f279c15020a72a755188ffb0efe75b0c4ea02de345db3f8c8b599fc8a4ab	3309f279c15020a72a755188ffb0efe75b0c4ea02de345db3f8c8b599fc8a4ab	03f18e43579d3d1c4815c454d401e4d16e5900d6f22fcbde742902caaf32b840	fe31eb0b82727662caa8d0096a9c666c1522eaf5a2cbcc65916f64202075eb5b
7	55	7	55	keep	0	0	none	accessibility	370d5f903e7bc58ca767c13ff5dc4af077a2add510704cbf8c5a758b0b8eb057	370d5f903e7bc58ca767c13ff5dc4af077a2add510704cbf8c5a758b0b8eb057	374af300a0776157f6ae6c0ad6e8ceccd3b1d73b9a8c224625a82386e0d22d8d	b8cd62327fc0a35d7c0560e00f55beee872f47d992490aa9127b53c9978b0f46
7	56	7	56	keep	0	0	none	accessibility	ce9a9f42aa6f4e87c0a1de865f70e393e70eff5b741c2351289c7adba5417d7b	ce9a9f42aa6f4e87c0a1de865f70e393e70eff5b741c2351289c7adba5417d7b	d685d3d655140d50755650990460a4d01357ba7f0a01dcd4d91ada6bff72c778	8eff844c5d036c41125c99598caf4970b0bb6d4a53e6bb28d38800079f4b3fea
7	57	7	57	keep	0	0	none	accessibility	75d2c5923d2d972579c20dc7e3d68f59f14922ba5bc7d72b2bc4d23775a015b1	75d2c5923d2d972579c20dc7e3d68f59f14922ba5bc7d72b2bc4d23775a015b1	8d3548b90af9c5396226a30cd0cdcc96825492722e547bdca4f14169cef41dad	2818193f30098d5cff9b62b9a92cc25acf534302f4f08ec7f58ba0e677afe159
7	58	7	58	keep	0	0	none	accessibility	53244ce7311240b94841fc8e14b4bb7ddb3fa5006158c71e77a25429fb3b4772	53244ce7311240b94841fc8e14b4bb7ddb3fa5006158c71e77a25429fb3b4772	240e37bfc98d4b4c4f6eb76c6421f2614aeb676eef66e087e6eca728cbb6b4f8	942b64ea959d56f6cd3c20c431b711ababa54208bbb15d48e253cf1c34639f15
7	59	7	59	keep	0	0	none	accessibility	8776543fc5369ce31987179621002d731b7716dc056c0ba0f865f62f30029e31	8776543fc5369ce31987179621002d731b7716dc056c0ba0f865f62f30029e31	f2ce34542baf58f357c962c3fe4cf050105a5cf51fa028343351bec2364e3541	5ef035d9bb1279f110176e7909334e7ffee5d7191a158f09bae02ae279d7714b
7	60	7	60	keep	0	0	none	accessibility	81aee938200f6f1f303f9e37f3467d0f92c07b92c723af5dd6ae23f8987ddde6	81aee938200f6f1f303f9e37f3467d0f92c07b92c723af5dd6ae23f8987ddde6	d66846dcc97b5a1ca28f017093d5cd985d2c36442d7251cda45f6ecd00377250	f273bacb4105b4080890b911a4511bc200922451a67c896e3684935b193ea492
