# Per-paragraph hashes of candidate/symposium-modern-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
7	37	e575a371ec6e684aa0cef22ef9a99f2c015e4b052fd102122666a7f9b67e9726	2	16	baseline 7.37 (unchanged)
7	38	8e5b509516a667efad7ead7d8591360a8996161908c7e015607aa09e761c1a62	9	50	baseline 7.38 (unchanged)
7	39	d0eea84e62c61b3aa71787c9aba719f6adc52cd1f3ddce307e215fee7c3493e6	13	70	baseline 7.39 (unchanged)
7	40	41599e9fd8fc76f312629860028caf7487b57a3aa2f9d8829e895233a9c31e37	28	155	baseline 7.40 (unchanged)
7	41	96aa879329f2ab0f25db40719bb8c5117b404da53bea12fa420fafa00b559538	1	6	baseline 7.41 (unchanged)
7	42	51deb56142da7b3f2b9dd322ed95e7327b7d424c9d93921b94ba9320b4f3d456	10	58	baseline 7.42 (unchanged)
7	43	6be92418a23db460ab4a8751a336045d289e0ba9587f792f8cef6d78c9419de0	16	89	baseline 7.43 (unchanged)
7	44	ca9147fcd67137bbe1fcc33573961fe6928d1e335d3933c08d9e8142930a7665	15	96	baseline 7.44 (unchanged)
7	45	cad2fc7bc509bd4dfc5bb9d7099c07ae1fff4149021899886ef56a5991308d55	244	1231	baseline 7.45 (unchanged)
7	46	ee2a17bc7266c156364bb3c753401859399cbdf84c471eae125cf08b80a8138d	284	1460	baseline 7.46 (unchanged)
7	47	1b7090532645552485680a631188d6189cf21dadbc2cf22f3b6544efaa18031e	273	1497	baseline 7.47 (unchanged)
7	48	64b63f0ff808108b58ba4c976d321d5f19f30831e0766473a486e3ad91d28fb5	247	1352	baseline 7.48 (unchanged)
7	49	9939e54866cef757157404c4cee11db8ccd91a6c610a98b804186d64a0e05232	289	1493	baseline 7.49 (unchanged)
7	50	9bcee48e4fabb1f6a4abd60e920a2ab76de08a8431c7e8f2da09e18e4f1d0a4f	224	1211	baseline 7.50 (unchanged)
7	51	381f3aaf1997d964d4084fb063adc5912286c7d5548a61c8a16d1a49c17d31e6	221	1183	baseline 7.51 (unchanged)
7	52	589553d99bcdaa799eaf4ac3a9a4ea498ba7e4bee4693d55a44bd0982434fec3	263	1406	baseline 7.52 (unchanged)
7	53	7ed88953e87917a4f3cd0b17214f923579052a2379c602ea9d42b75c85438ed9	212	1152	baseline 7.53 (unchanged)
7	54	03f18e43579d3d1c4815c454d401e4d16e5900d6f22fcbde742902caaf32b840	179	1064	baseline 7.54 (unchanged)
7	55	374af300a0776157f6ae6c0ad6e8ceccd3b1d73b9a8c224625a82386e0d22d8d	272	1433	baseline 7.55 (unchanged)
7	56	d685d3d655140d50755650990460a4d01357ba7f0a01dcd4d91ada6bff72c778	247	1409	baseline 7.56 (unchanged)
7	57	8d3548b90af9c5396226a30cd0cdcc96825492722e547bdca4f14169cef41dad	25	138	baseline 7.57 (unchanged)
7	58	240e37bfc98d4b4c4f6eb76c6421f2614aeb676eef66e087e6eca728cbb6b4f8	195	1043	baseline 7.58 (unchanged)
7	59	f2ce34542baf58f357c962c3fe4cf050105a5cf51fa028343351bec2364e3541	161	900	baseline 7.59 (unchanged)
7	60	d66846dcc97b5a1ca28f017093d5cd985d2c36442d7251cda45f6ecd00377250	218	1188	baseline 7.60 (unchanged)
7	61	e95d74fdb34b72fd4ba9f085336ad87b59ba13dd1340b68ec212a35c36af26d3	77	416	baseline 7.61 (unchanged)
7	62	8e0e9360766f432ca461c3c5c3931c54c96830a0560f96dcc0039eb3835068d7	214	1082	baseline 7.62 (unchanged)
7	63	f199d15c0d72b831a3a965c9b9fc78b7c92638eaaabe2feb7f5f8d4b3efeb7cd	178	948	baseline 7.63 (unchanged)
7	64	366179fb0f2d8140fdb9f0ae152f81f55162909eeb0549d403d2c51a4437799c	213	1135	baseline 7.64 (unchanged)
7	65	368bdfea20e894ab73add906f46a570eaee819d1b816f9030006ce148aa341df	234	1233	baseline 7.65 (unchanged)
