# Per-paragraph hashes of candidate/symposium-original-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
7	50	57a596df3dcacf8ade6bdc3bb5d1a77aff8b9e19a35e9d185720b862fc37cdae	222	1209	baseline 7.50 (unchanged)
7	51	0fa15cac4b15a3be9137bc17fb490ca36e7b09be56874680c93070a76df1559d	220	1182	baseline 7.51 (unchanged)
7	52	44ff51caaa05f75213714ec579709032050280d2279f5f2e1b94c0cf51010a90	260	1404	baseline 7.52 (unchanged)
7	53	7f5ab522d2cd46dc75a6d549b120d6cbc52558c0c6e7846b5d518af5fb21062d	209	1150	baseline 7.53 (unchanged)
7	54	3309f279c15020a72a755188ffb0efe75b0c4ea02de345db3f8c8b599fc8a4ab	179	1062	baseline 7.54 (unchanged)
7	55	370d5f903e7bc58ca767c13ff5dc4af077a2add510704cbf8c5a758b0b8eb057	271	1430	baseline 7.55 (unchanged)
7	56	ce9a9f42aa6f4e87c0a1de865f70e393e70eff5b741c2351289c7adba5417d7b	243	1404	baseline 7.56 (unchanged)
7	57	75d2c5923d2d972579c20dc7e3d68f59f14922ba5bc7d72b2bc4d23775a015b1	25	136	baseline 7.57 (unchanged)
7	58	53244ce7311240b94841fc8e14b4bb7ddb3fa5006158c71e77a25429fb3b4772	193	1042	baseline 7.58 (unchanged)
7	59	8776543fc5369ce31987179621002d731b7716dc056c0ba0f865f62f30029e31	154	900	baseline 7.59 (unchanged)
7	60	81aee938200f6f1f303f9e37f3467d0f92c07b92c723af5dd6ae23f8987ddde6	214	1187	baseline 7.60 (unchanged)
7	61	ed80fbce0f1fa02d1c2085a679963fd455e10e28ae6a2cdf963178bf7245ab87	78	419	baseline 7.61 (unchanged)
7	62	afbe6749c21fe598075efeb899351ed82be6769da4bf3946f3f68f042bed05ce	211	1076	baseline 7.62 (unchanged)
7	63	64a557a07e3c730230775533b413f652a27e04de829a876e11c6d6916bd1c6d9	177	948	baseline 7.63 (unchanged)
7	64	9f39a5e1aff1d178dde061078f0fec24738d46132815ea5107256307f0b9958f	211	1135	baseline 7.64 (unchanged)
7	65	573dc51b89752617c6f5ed9fa113f097ed8b25126097784d9c9ce4314b0d04e9	228	1231	baseline 7.65 (unchanged)
7	66	f0afc978dfe0d7159cdb0254f69235815658773fe24395599b93f5c054ecf088	65	344	baseline 7.66 (unchanged)
7	67	270e1c625b1a7d7bc68a223ee179c7602af3f5a9b6ca8c16019fd080387efb46	99	511	baseline 7.67 (unchanged)
7	68	d5f931b3a4383f80e7152ba3b9d1ec673c2b1146671cc4baf1220357cab63fd1	20	110	baseline 7.68 (unchanged)
8	0	96889bd89dd8f9a95f0b0dab11491c8bb7367eb781a201be0dc0f5d6395667a3	281	1498	baseline 7.69 (unchanged)
8	1	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	7	31	baseline 7.70 (unchanged)
8	2	43831b2873ff16c1cfffbed284248de0100698e93ee268e6cc4481c3df9ca0e5	106	572	baseline 7.71 (unchanged)
8	3	e292cdb1d99233a2498ba22fcd25222e96be36ee767649ad4ba4c19867303606	98	513	baseline 7.72 (unchanged)
8	4	ce19488189bd182fc5edecc15356e4303f180a60666859e8d7692077db673ca6	116	564	baseline 7.73 (unchanged)
8	5	71e4082326fd7cfdbc4e1aaf43e0a28db92c7718129eb68901da9cd73bec05c1	93	531	baseline 7.74 (unchanged)
8	6	a5421b2483f4561d169ba89626bd1ab917f5642e6225be9da8128f9afcf88a64	131	733	baseline 7.75 (unchanged)
8	7	119b5f0974cf37b7da4a65d18b9af919a3c7554edccfebe6e7110d6ec6a47407	26	149	baseline 7.76 (unchanged)
8	8	2aa3485a66cc4e974ff548be1f9ed2f839528fd60144a61af154c9d0d4283d4e	12	68	baseline 7.77 (unchanged)
8	9	82a53ca54a8d7ed9126237db396851b5fd6934703b80310aa3964cf03f9a628a	11	56	baseline 7.78 (unchanged)
8	10	ac4f4809346adf77a4e92d9e46fe16650c1ef84efc1a99fe55fb63c39bc8975a	7	37	baseline 7.79 (unchanged)
8	11	2dfcb645b6b427b6db9f7fe28c1a9b8f10d54bad0ded08c8b2aa9a1f3baa7baf	12	72	baseline 7.80 (unchanged)
8	12	11521bfa4e15c338d22a187ae8e032dc94b7468af67601f06c2088780b7169ed	10	51	baseline 7.81 (unchanged)
8	13	190e2b27f48409fe515e686f951da884ff19952eb993ec812311cc51f48f68ae	83	416	baseline 7.82 (unchanged)
8	14	67d82b45182009873519c8238a4a28fe96d223c826b2095ef681fe81a01ce7fb	77	407	baseline 7.83 (unchanged)
8	15	c89f0768fd8d64358980d49adcaecb9702b9ba6561bb2faf7202d7caecb9bca8	4	25	baseline 7.84 (unchanged)
8	16	e521707e28f503e76f27d393a4599bd0144134afcc93cc972983310af25da9d2	23	120	baseline 7.85 (unchanged)
8	17	90167d90c2f917e3145d51c293498eef35d62cee400aa517ff54912e36dd2737	9	57	baseline 7.86 (unchanged)
8	18	9bf9beb1905cb029f6d5e52673e270099473ec273bc005f66071fea8b347b618	18	110	baseline 7.87 (unchanged)
8	19	5f6c4719eec26cbf27c1d46ea2b86fa158eec95bfed4afe5f419d5be042704d4	23	116	baseline 7.88 (unchanged)
8	20	245425966efb671af8f2640e76e6a6446e72c0c0f859c09db7ac5eb8561a2d02	12	53	baseline 7.89 (unchanged)
8	21	8f2273fce7bd7fc379636d5a0ed1d45137dde6ac4d21a9e67189ed69164678f7	11	53	baseline 7.90 (unchanged)
8	22	bad0470572ef6ce9e7e5c8fdd4c0802225fda5e0529af74c9b673ecd6bcd4f8a	77	377	baseline 7.91 (unchanged)
8	23	b54dc54b0fbe2940304ed967cd4fc68faf24b32a0c849029254bfa55d2c3849d	256	1328	baseline 7.92 (unchanged)
8	24	5ab72f46a4328ed375c1f563a9066a5b9631d49fd4253b66c8480f4395bb3ac1	279	1439	baseline 7.93 (unchanged)
8	25	7d2f5877d6df53b92c9f044f1bee13b4d1a810b7357cb92153de862919d8747b	125	556	baseline 7.94 (unchanged)
