coord	sha256	changed
4.16	45e78faed9664f3cd9177b81b567629cb2d4edf1f87e54cbaca757d84d05028d	0
4.17	54a45876d585741151bf2fe5b9413535b2cc3b4b93274ab1ded664a0d25fc19d	0
4.18	9a65142a591e3c431df81e79cdb81fb54278b270f7be2d0f9a2fbcbda4cc8b33	0
4.19	54e34ebe5f648ed0567c06df600fcd7d9a6741b38e659538fc863fe1c645975f	0
4.20	073b845e91765091a7f17059be59a5d689da4a32a52279af49bcb7a512c64096	0
4.21	50453f6de6233cb891008dd9855e5baaac17f776de90fa938749fc2d277b4a10	0
4.22	f82cc6a73c57197d76a095d8da451f6bd7dadeb44f4aeaab9bbf526a42f1988c	0
4.23	8bb1360ef6202217716feaab7f648f06ab39999d2fe50134c2d076feae303443	0
4.24	90a4457c97f22ddcb2a2b7fca687ff39abaaa6ca0c5c75068bf8cd0017a029d4	0
4.25	261f92813ea561dc70388c5c6408cd461c41590ca214b1314f81390d8f4938ea	0
4.26	23aa7ba5991e45edfc5fbcf03013ac66769e66fbc1838c063da30ebd400a727d	0
4.27	78b46fbfb5530256cd4cbdd8210f5dfecacec1c99117fe2c90347050b65e24c7	0
4.28	6f3ff23aa1a5f172d3a1257eb2eded9b51adbf4dc0be5db982b6829f7f46b651	0
4.29	42a80d7b2cd018f357839e5e8907e05cdf19bc351388a1aced7208236eb68884	0
4.30	87c3c098ff285c69264625c51b3436bfb5a0816527d01b3a4dc448e73539527f	0
4.31	268c737418b91dc3e412e1dbb4d56ea7467ac0d7d126b73ff65709317e215339	0
4.32	8aa77f08d15abad8da383d2d11c5ca7778244d390fe9de64c007fe1feb336c6f	0
4.33	61663dbb646fb004760ec768ce5e38e009cd2604f63bf949f5f7211d616fe426	0
4.34	def6f6e7d2022c9fa5af252a77c3dd0aced2a440ad665b76ff72903a67329d17	0
4.35	61b793826f0a6a8abe8351012e948ce635548cbfcc228dbb1d3e2e5b9ea13f2c	0
4.36	108146a452f39f4f3fb924612808e9c357e836ce704e3b50c2f55d7e78527e7e	1
4.37	b3eac020d36c6976849bb5a36593e9b61a9f413b77523ec76f05cdd0ca61adcd	0
4.38	7ea5232ca5bc37eb0da67958007637c0eb2faf5efc1559d4ff44b3321383c96d	0
4.39	698aefbe7259ad290d0d055215411c1ca28ecb17041d9c66d7e9eace8b60c770	0
4.40	37a8f21227e4d26971d5412376ece8578ab479d1edf1643bf847afa2779f5cb6	0
4.41	bae435d05ad04cfaceb851f713b2f5a0ead898effc940ca6fadbac942a40a143	0
4.42	236e900e532684a8ea542acb93b10e761ffed0b4ee3d7af421dec173a070aa4d	0
4.43	90e94637a5d2f3b92b8190d29782d6f3c36755e691027d8586ab5cb6b430ae33	0
4.44	f914dfc8e6a0d4af31d4b55af2dcf4b37fc0170fa88786770f89fc8afb406d07	0
4.45	e3394e7faab9c60bd89b7b2c99471ecd54755a27b6913a5d5bc039cf0a63100a	0
4.46	fb19f6cfdc3460d6cf892bd0b0a180dc0a8beb4ab603db161342efe867b07b11	0
4.47	be742ee8113cb962b4733b33fede325646cbcfbe3ef674a8a5f14fb77fa78ff8	0
4.48	ac4727fb465e8cd0d78c2c405ffdeabfe61932a6d21eb90baaa6a08ebbaabcef	1
4.49	976331c7d26a28c020daa8d5e270295536dad44d88366fb3c8d54b4a5497a5cc	1
4.50	e511c581078b32a3489bece71b5290cc9641253f7e0bc4010a18d79fc345c56a	1
4.51	6335d7ccde96d81e50ba93e04f645764fbe294ea2df64ecc7c6da2aef86f2085	1
5.0	f26cdfedc4c555de9f9d28823987b01d34bfec1bbfc499060150a9861cf0ba71	1
5.1	69dd21148d28434f365fb5bec0156778c79c9630a5f221f07723aab3b085169c	1
5.2	23cf64f91e8a4d9b314c3a40da45d1855b032411c64288363d7ac702ad12b45d	1
5.3	e317424c2c9c4ad6108a43b37dcb9eb7d76972d7d8f0c99bc5b95fdef63b6443	1
5.4	f23159b61c5704c0c80f64a9519cd3bd36b77846dd94e33c31f4165331e891ce	1
5.5	2cb9cc2d158e4f1b8f4e09ac5535b53101c7fd41630e2d4cec36b224878edca7	0
5.6	03d4d8c73d83a6d565fe09f733eeb635f396296df4ff13f0a7d492f2eb415770	0
5.7	d3836445b0237ac7ead039fbd8096e0ab8c709fc825623f234650d6b49205348	1
5.8	27d16ae33dfc494d8b0d24ae02a95fdf567366f179bf3f919ca607df75edd946	0
5.9	83924e7e6ea4b6d78c99308f74b516eb8598017a9674ebbed0825263273cf681	0
5.10	53bfe99ba61f8fa6dd85fce7e772ffd95d2d7d37f36252d1803a2d94e94fb8dd	1
5.11	55415df98ea0202f3b670d1510347230057ea74c0d91a9b796cbee8ce72d33cb	0
5.12	51810bd1981fe1dee834e02fd48556a698191fbea7f3156b841bab6e4f933914	0
5.13	5305c6d1b828f76e04acb4a077c0ae127e82086f6637e7c34a22422d647da35b	0
5.14	51e47d85c136c54ca8acfc070a9c2cb63bd6c08a2e2dd762cc5e110016ee3f60	0
5.15	a5f4428953461c43193315164342b3510d248070a49c2e47f42c6bf49fdad268	0
5.16	2bd32763486a7cd1ef5aa6c466ccc44846d7efc234456d0b49d40dbfdb26a689	0
5.17	db6d7b4fe88e2fa606ed89c0c148fcc5706b6ca40125724bdff6af030e1f402f	0
5.18	509f945e7c7a4e0e3bf00c14458fd85c5b69b29182579deea26b166fa7a41401	0
5.19	43fa3ed112431b54c0b786afaf3104c3054e1330e8b829fb3b8c5c0255d3ea37	0
5.20	f1e4d40bff7b0ad61a94cc52808e5f96d8b7e5a499e27e3b3e9c005e7769ff18	0
5.21	eeb0ad04498957f639bcf5dc50f273fa16682bc74cef26925caf96af24a9b6cf	0
5.22	b369c704de2496e90c4eea57eacaf5f9ef23507704c8f5bd83672283fa448d47	0
5.23	70e49c05f90f1dc0e1eb4513968e3401306e88ed0e2ce9d154a55500cebe3cbf	0
5.24	5679b37adffebc2de3d202bf9b8c18c0ac484a36e84e37cef89586940a550d8c	0
5.25	1f860b2de060e17f52c21b3b02f249366160cddff2273591662b1640cbe48487	0
5.26	01677f14e4bd72329e2f311533f7993d2c31f2e6812611b3115249fc0b467f81	0
5.27	8b931b68500d47025ae9e2928a4f34df593b089949071f4634985fc9bf9a3c3a	0
5.28	84fe0e31e2d66d3606dcb3f45e836b8e9d51a50aecbc31d2edc257799c3a79da	0
5.29	a823ad0d52cec2eebb4fff28927c6a292b25b6c0f5fedd448c1e3a3023c0472b	0
5.30	3fa5d4afec9c6833c12cde98a4d220ad3f8a218eab31a1a561f7db17d6cbf358	0
5.31	35af87674292e69e5159c8a411a238798f70f2ed2304c2b2b8874e618e9f2d52	0
5.32	d9b4f1b48bff05a8805adb5039a1fceba3692cba6f3cdf9fdd8d7e53988192da	0
5.33	803da53980992f40671e70e0e763492de98acb976204a5baf23d4dcf362f1f7a	0
5.34	3ecb0c0c0cce439c280ea37b61173be7af832ea3d40a6218c9d2842d41b48231	0
5.35	eabab1673b527830ec2b705e06b8bcb4e631162093eacdf241ccb5a717f732ca	0
5.36	ec531ea01927b0cbff8dd7ef434f709c6c91963c48348a568d1b07bb6f7357c7	0
5.37	b82262ab460cbe3d5ad360e955dd98e3656cfb20c6385a3d21208e6a8063d102	0
5.38	33175bdcbd89e99f1e6b58d2ba15bffae7bf295ac2cd2ffd7664ab97a2254601	0
5.39	d7b80bcef1ab08ef4b6174636d8f3ea00dc8e2e1ea3b3eb465c8b22be08d7228	0
5.40	675aa733d70ec738c888701da49a56d4be95df7f14deed72ccc703386bf57007	0
5.41	4e55654ee8522840d2836bd0ea87e8426e64c6f35cc2d2a0e1436c9b0b88d168	0
5.42	f8186450085ebeb505b220de92297ae766418a8af769d19ded276703c08622bf	0
5.43	84458ade6e6cdbe25307296fb8afbb4e02f844e9234c95e17d9b3d3de3d97220	0
5.44	0111d4af4f3f68544eacde13ba7adc297d03d78df380b49546917bdca36fc11a	1
5.45	3f23adde2256c5217f7c715acc406217a3a4f5d3574b93f4c37928c5b735ffbf	0
5.46	9d1d6c7ea711de6542c40296212f6da5f82b3d0d7008b0c79a8be19e21a5fd84	0
5.47	d36b15a3bb2152f9e42719590a32318514deb56d892074227b36a335ad523821	0
5.48	965b9c88000deb8e97312938f62f67be25190dd2e75e297ea36da3076a912664	0
5.49	484d865d37fcdab8074e3493f3f7d8f164471456be74b0db279c85b4371509e2	0
5.50	0a9f143a000fc772f9190d953e48524ee80f8afa5189843ba70ff6bb42d16525	0
5.51	c3ed8c1ea6c2c0d410531c8bba9f7d9cfde38a9bc7377f9781f532be4b5b47e8	0
5.52	6e7a401d9b78b18a6a7e8a3b11d21f10c09612a5561c5d417ec84933e14a0394	0
5.53	331fc958ea987322250bdf2b85019398a7c77d8e7f2de59e0400a80785536630	0
5.54	a6cc6cdfbc3ac28b8acc53b90d8f969dbe4bdd1bea89343cf8e9620482cd9aba	1
5.55	49973af554404b39d33489bded4075193b95c7e8617ba4614fbf95002d80fc66	0
5.56	d983e269cfaac0437b27c97862e899c41780a4ff37617c364690933424b775a3	0
5.57	30dfa812e124c29fdc0a086bc1888bce234157fad4091c8e7369e6df060874d7	0
5.58	5615578921c478dd000a299fe17749e42be7a0696136676466ec2eea315e3998	0
5.59	95d3b8c098e24eaf9ec85ac1ef3e7a0df231682ecd4ff9a8d361ef2efd816817	1
5.60	32cde2bdf3835b8e5f98915ac702e0186530a8122a252794589b3b6d76d68fcd	0
5.61	2402a006ed5d8c842fed556978cd578c7c4725fa8c75971b1c1d43afffc5e151	0
5.62	39550e5bf2c2991565a1f730007f7ab752f63e7986ae22d2968996a1b3a7f093	0
5.63	fdcb3b980c327dd00ac1f54125c0f7fc10d1d6561ccff7e4bce90f641ed57086	0
5.64	0f83c65ff7f805142dd03086cbddcb98139a298041acbefaa3c5469a0b194a11	1
5.65	662abd9d409ce8c72862058a7c99d30a42661e9ce359de7828bad20fccea5fd1	0
5.66	0362e204b3247ef83050f794589b2a878c053081f4d88992f35a8fb5ff8622c7	0
5.67	8bc7a8ac710525196abe66fca5cb1299cf26e48baf21997056c75a2d6adaefa1	0
5.68	c3fb16b1e7c5dd123be8009a847cab871f47ab0e225d09c96f1a6a57accdbfd2	0
5.69	2e91c831aba5329d01c026445a92751049d8b6763e39ea2bd99e78996332e54e	0
5.70	8808ba32583dd5ba9ec698ead3afe95dd99097f62cb2dad73c2725f061a4deff	0
5.71	9d35234fd9d421fb16f47e190516f4593b57c0911d7a3cdee0e19e8ba5cc1ddc	0
5.72	14d8566cc7d49add091de2de44546d155b694b2e23855cb070f3cc2321e143be	0
5.73	3051997ec7ce62edeef7c5129618043ab2bcacc0cbb4ef8048368f57d33ce079	1
5.74	2c1b2d31029224d74e7abd5b9e392fc9d7c7654f8a361598f67b26f772b88a74	0
5.75	0fcfcc764b64081d797b780cb88eb71f26c8a56e93eae5fee4e022d774fc2978	1
6.0	29b605c09bd7669b119dbce29416fba17f91586d493756ee01e385680dbcceec	0
6.1	b4af9a084dac8ea66271f269076bf487dc7a8b479caa7422b519664396834b98	1
6.2	49ce5080bf915064b9ec1d1e907b5ff061ac77d85af43b7f6bea9dc8e63aa947	0
6.3	46ba323143a27c3b5dec197784249028114a6f3554ac11e401816b30e5ca8379	1
6.4	b0a9f64de3ae64a7e370643f89f4afebb34e49df23a9bf93d95be3f95c6c7da6	1
6.5	77140e23dfd555b7f126f709bedc5430e210428e8befc31b9e02bd7040e3927d	0
6.6	2bbcd5084a642071225eaccf647a493ca8d69fa7488a34409bc21f6fa9ce7ac5	0
6.7	cb7370e7ab14dbcd55e864af9d59ae534cabcd1927c5b6f89f62189014b64a89	0
