chapter	paragraph_index	class	review_edited	live_sha256	candidate_sha256
3	34	wording		06bfb812459a992002081ca207d061a91240d8a303d46edd94db78865931b19b	270b2705ecbabdf53cddb894283d2fb86a69163e1b9e43fb4e4eb9fa4484fc41
3	35	wording		6bce0119a9be7977e8077f40d3ded2690fe864f57c5ac3ddd7164d488149370b	bd7cf90e473f9197b4645a3dd863ab1b6a2aa103f3373ae2892a6002e315f176
3	36	wording		465f6b88e15e45a80db27bfe3fc423cbbab19546a50d0526b0f36b7a215cc2d7	8f691cd4c7accbf180920e88c10acc82f2a75283e51d312c0b435e64c8f905c3
3	37	wording		d9b6d8d1e1a6eccdc3dea51fa8371469cffb9470a920fc87a6eb3ecd78866d06	b82e864d15d49a08266b734529d6a217486f92c804b1c81ce6dabd472a13f928
4	0	wording		0cdad84c00e429f243829379a2b40bc5f389fd68207c224e8a34c59f075f5bb6	a7ef0f7b531fcf797f153475b373f46b668ba2d0f3acd886d1d18b4788b0d4e0
4	1	wording		2d4435f608925ddae08c4957eab115d51017220976183e15f3320dbafe47b8c5	d4f4f4966557c69e2db67b73f3a2542e742de06a688f29435bcf00d71b982eac
4	2	wording		323a1639221446d2534709acd74930a316a6487b56b0aaaff85780e90e489dbf	526098e66344f09c94c90ed565b081182857e333b4dcf9984cc1c52e8cb33bb7
4	3	wording		3debff4b07f70ca2c0d08d8248ab3453aedd5ad82fe169ce5219f0aaca3d49d8	e5d49496bdea330f5e9cfc351733fd7f3de87284fdba53db2ac4a08ec35d2dde
4	4	wording		c067ef91451dba020afaf8088855333d8e5995d5af8e91fc1f30678f867160a4	1826e9cc82d1febc67445ec4ba2f580866e3b2a3d4cda7d60384a88a2b3be458
4	5	wording		622ed75b1f0a5f6964de15375979f873cbb8fee7f15ed5f342c38472af4a5050	0cc5113ca992c32c1666d13b6cb593634e35bf96dc935d7e5c2507ab618e09c7
4	6	wording		c9b485977e9dac34a5ba8861769b308f928fe1b36d23efe25242ca8d1a25e540	80c5c8a50d28392c11c25fd021416b1966f7aae4a03f22d36ecc272d107bd5a8
4	7	wording		237580cce0de1dc166fec90fd972d4c740d4e598923158c70c7f512560a5ca7a	17515c42dbff99a5b7eeda07e6cf065a6075961eef4837cd2d06215db6c75735
4	8	wording		968efdc241b0bdb575cf65b9bc39ce175f5136e63cadd000bac1e09afad7f258	fe0836421ff6aa178b1e3f0df6706725f4da417cac69eebf9e1c7448835c1cd0
4	9	wording		5a8f55dd9185ff0b8072ec6a5c2816d5d15b1a40f4b071feeefd711745837595	8c9a84ca5c861f7709b41fee1ba8ae5b9ea914a6b6f25fb7d43751a72e269313
4	10	wording		e3fefca8c2fec55d459d04cf236bd0e981bdfff89e9bf056732e524b5965857e	a98e4c7a861f761aa0b36f42a1377ca96fa4de2f074751496f2daeaad9c7cabc
4	11	wording		6bf0fe9c2f363fb95b6bfb4e7f99569dd75b533ae2c0f070b613fd370475c2bb	68d1045f37458c911056956195d27eb9b6d0191b0a5c159b004cf4a396fec514
4	12	wording		1186bb97a30fc10214f0814d49d114c8c7f166a96587bed2f1ea1fd493ce8e37	4983a4dd8f9844d28a32527ab6d9d75d3447ec818f5ddd3a39ce4a8d5bcc3333
4	13	wording		d8ab8d60cb2d157f504102e3d8b02d20f57958dc0d0de9ec8ecf6c13f994c874	e89beb809108d09200cbb41ce2f61cdce072752f08e3c9c052f51fd96b3e84d2
4	14	wording		d377f74a3ef450d9dad130e23c069c619dab477a1c553c767ccae27e75ba75af	c37d1cdaafe6a420d2501563fca3ef2eba8b7fabaddc44d5d79b0aa084a690de
4	15	wording		a9085c38d85d9ce3c4a58f021c2bb3cf3eef83d11f6a829fbb7f004a6d135de9	f25e68e59e4aeace9bc46056caab2ba219ed2c2e9c0e146216049232b3318360
4	16	wording		d285b1e06536394d50e08fd2059d40dcb3a451224a001da38bd6868b9e8cae92	eacb30acd6f001e9f61a180474dde493485c1a18f439789dca1265f6bab79e3c
4	17	wording		ecd14217214588270254cafe7477b78bd6089013df630e21943926231584a965	4f01daaac19130954f0d3f571287dbfb97992db36688245ae130e5fa277f3db4
4	18	wording		5871d2d163f60ef19eaa82c55eff43dce4e467cfbd889180e85c8135acbf8efb	81fc9834941666e124695640ec14783d74d7f419cd0fc002fedc10193f05deee
4	19	wording		ecae20d79d21a8040b2560e4933deed63d52da0b77c4ba74e8261c50646bd661	ffbde9b1944b1d167f80bf96d45d493740d30b62b66d3759f488f296cccbf243
4	20	wording		d94de9da021c6bda21953fc8b2221dd1de3a23543a6db122d40b6207561c9462	b5e147f5265850b35f26b055aca24f22515995d87e794923183ef688a576a836
4	21	wording		00633af0243eaebe44eaab8a2400b5fc856cb31762fc22759a5c37225e3efd6d	71d2b56d923f795e81bced4d0584d6ccb2b0022d31e02678807156c7aeb3ac00
4	22	wording		8b06bc02c92bbe359ef6086a05ab852037d582efe2d44391a3e102299d0aab92	d7bf6987acc414eb21d71fc1b78f8242c3223922c7e1038a94527b08fb154553
4	23	wording		646b89c7f45d54aaf49e2cb83fc9eb80fe5d71bccffc8bbcb67ed976cf850a30	a4a7cffed65173e8ae01a7cfffcdd8e0f2960844d9865a30f3ec5d3e54777e38
4	24	wording		8d01f8faf8aa65b743b5f1d4d17ef73b54c4b93ad8935fcee1bdff57e66aa6a7	005205b2b7f18f7f6bd73fa1e7d1d36f585c04f99b469b65895bca12c8f7a74f
4	25	wording		4c3af90568522b6deedbf478388eb0a2c991ebdff5b1379041d33f3f4363b64e	72b7937c8c156edb1fe57951c9aad6fd8d6c3216dcdfc432f3f9b0824c331e2a
4	26	wording		9d56e6fe46ffd3b352438e0ab2bd2cace72e122d63b638f857e2b6a648d9c464	fcd5c7a31865fe73b085115b76fe1c06549d0828fb224873d2f4883e6ce47f8a
4	27	wording		eda34ad858fdf5a1246f94d344c08269491dc74b2e6f350b344a700e467b31d0	7bb96fc963c72f83cf67a6eadda1cb506ab7483e679b1107ead2c0c8ac186e91
4	28	wording		878bb93de8fb4763f731d35fcd98806dd6e515f2533c99f3c4e27bc46baaee35	3b673fc4bc5188006f29f83bb5f4774daef70d3e435225437e585d96419a5ac1
4	29	wording		02fa68ca6ab3e3e084bae639773202cb60354a298777898dabca930d1e0c7d81	8e43e8aa6a3ba65a0312ccdb227f01fd31b234f2f7db06e29d26bf31146b86a3
4	30	wording		16054f8102d523ae5fa00fb51bb226de7bdb13dc5ab2444a2efabb775015ac15	14afbc62e259cb2abd76e9884eb64433971848af898ebe7a839df2247f3543fa
