# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
5.5	c0aa299c60607932c8be9c8e515a10240925168d931ddffe25f98bb13c5bfd83	3d7195c99f3cdb8e1709610495d01d3594fbcefe9534a6f4e73ceaba9cafaaee	yes
5.6	d095e531b490b06e71e7b1647cd3b736f7db9a2f57bf7a1f10ba149f767e44a8	4368c1db240b2154d3a35ea58c60f4975acabf89138327a0410eff67e28a698c	yes
5.7	d5ace0843377b14d49cc89d0afbf2952a898132ec16bab7322c9faf023db355d	c20489147f9c215aae13492b200c3c8bb1ad82040bf2e6954d463b31f241be99	yes
5.8	69ba7d300fc7c1bcb1f2c211eaf9227e3ea8ad30dba97841ea341f08ec12cf0c	987f65249dca61c5f52e67895d720b9ed7c133df60c10d92fe7d7e97cecb3c11	yes
5.9	8c8efc418122802860a3c820a3fc23128406dfc3b77f072265c0da6c7aeee445	4543a5ea49735bf3c3691e0bd5193d3af2e1c2f7520f9d50416ecad864f96ec2	yes
5.10	ee16b97cf215fc986e14dbd127222c774e4f04172091034a96c6b18cad2b599b	e0ce904198d5e95f6ca9fa04f6c1a49e77a33e48d9eb5f7fa2bf4507f36ab6c2	yes
5.11	93aad85dfaa3db09cc954258e1038eb943a53847c247b50b1b7895b5bfc5a350	e15844e71bb3356e415924f70ead3d7732eb7478d17ee3cd62eec97c004f50a7	yes
5.12	bffaafd7c2cf6e945d9912b49909447e961db613b8785313770855759db6bb54	6fc384e408be02be4aca48dd40c42139245e56b20cac0c615e1be55ec357a3ff	yes
5.13	a70de116284f8a52d14b2e562f3eeb174122afeeafbffb145c161c1ae1ba2324	4b27bf071ff323a7a89b97fd1fe3bfd30e54a5048c6d810b8899d9d28fd58f89	yes
5.14	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	no
5.15	c301750f2ff7d110607e09f58f891a55ca9e90e9ff8d263d8c68df84bfc18e2b	352589d378fb19a0f265efe06d89a4aa863e7ef2af25a56048a4d638c9d48534	yes
5.16	49b0dbbb3a02926c481776670786d606a0e6f25c936605f015a4454c47421e02	88cc459f1bc1307e67280582a7619231a8332b8412dd11fc134a2dbc2f71d536	yes
5.17	e1df054fa7b21a1e2e85dfe53816786244a579028a8cf5cab60c5e35275d0faf	b40d6a65f56aa9e370f30d37939044386a1ed7de13a2f37f406805d3610ee80b	yes
6.0	e27a4581cd31a8818509a40ce7cf7f37a405204f3147ad304b25303969acccb9	4ffe4d21957df35317a64d878a7f3391dbbdf347cd535561f24839fad6dd6c63	yes
6.1	b0cb217ae9ec72a34b3f3be9ee96f26856dc2e5ef1df9d7915965d285d4fad84	b0cb217ae9ec72a34b3f3be9ee96f26856dc2e5ef1df9d7915965d285d4fad84	no
6.2	eade20186a079a05d9017c4cfa454dd116e74cf0fd56b56287567454496e09a9	320ce47d234251d17da8973fae9ea3cb45feb703f014a52f1be00971f13073ac	yes
6.3	13163fc2b42b42386ddb8e6fac21f59947612f43f49d46e4b609fa1c652e74d3	7fbb3536c4dabc946424dca3606053a209fa65856c11b3c21584908df4b7fe65	yes
6.4	e6757f300a6deb3552fad6808409451ba0ec0769d8f29e73cb4896100e008dc9	d70b0ae379a8d9b47b6694a9a2dc1b5b54e366e1ba9b02012f79114e3eff45f1	yes
